Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,2725.000000,2754.449951,2709.899902,2723.850098,2659.767334,1078052
2021-09-29,2714.949951,2744.449951,2677.000000,2685.300049,2622.124023,1503894
2021-09-30,2685.300049,2705.300049,2681.949951,2701.800049,2638.236084,1620199
2021-10-01,2706.000000,2712.000000,2680.100098,2704.050049,2640.433105,956111
2021-10-04,2700.000000,2724.000000,2679.699951,2686.199951,2623.003174,1025005
2021-10-05,2686.199951,2714.949951,2686.000000,2708.649902,2644.924805,562784
2021-10-06,2694.050049,2734.000000,2676.000000,2686.050049,2622.856689,862471
2021-10-07,2698.000000,2704.250000,2666.000000,2669.399902,2606.598389,1082816
2021-10-08,2670.500000,2678.550049,2625.399902,2640.050049,2577.938721,1579941
2021-10-11,2642.199951,2665.500000,2635.500000,2645.100098,2582.870117,1086252
2021-10-12,2625.000000,2688.050049,2625.000000,2676.149902,2613.189453,1174337
2021-10-13,2688.100098,2693.600098,2642.600098,2646.750000,2584.481201,1660007
2021-10-14,2646.750000,2676.750000,2620.000000,2649.550049,2587.215576,2158809
2021-10-18,2672.800049,2678.899902,2643.050049,2654.000000,2591.560547,1758177
2021-10-19,2669.899902,2732.000000,2520.500000,2546.800049,2486.882813,5431133
2021-10-20,2569.000000,2584.000000,2470.000000,2478.649902,2420.335938,4864654
2021-10-21,2503.399902,2505.000000,2428.000000,2445.750000,2388.209961,3254632
2021-10-22,2459.000000,2498.250000,2430.000000,2454.100098,2396.363770,1845622
2021-10-25,2454.100098,2463.550049,2410.000000,2455.850098,2398.072510,1560381
2021-10-26,2468.899902,2468.899902,2417.050049,2436.850098,2394.142578,1595060
2021-10-27,2455.000000,2455.199951,2391.149902,2396.600098,2354.597900,3083879
2021-10-28,2400.000000,2416.000000,2368.000000,2389.649902,2347.769531,2015791
2021-10-29,2400.000000,2402.000000,2373.000000,2393.149902,2351.208252,2453400
2021-11-01,2393.000000,2410.899902,2368.250000,2407.100098,2364.914063,1941114
2021-11-02,2415.000000,2428.000000,2402.000000,2418.899902,2376.507080,1350154
2021-11-03,2434.000000,2434.000000,2386.199951,2411.350098,2369.089600,1591607
2021-11-04,2429.000000,2430.000000,2420.000000,2422.850098,2380.387939,245719
2021-11-08,2449.000000,2449.000000,2400.100098,2431.899902,2389.279297,2555533
2021-11-09,2439.800049,2446.199951,2416.449951,2431.149902,2388.542480,1696949
2021-11-10,2411.050049,2420.000000,2396.000000,2400.149902,2358.085693,1794509
2021-11-11,2402.699951,2406.949951,2366.199951,2376.199951,2334.555420,1282647
2021-11-12,2388.000000,2413.600098,2376.199951,2404.949951,2362.801514,1651974
2021-11-15,2404.100098,2430.000000,2404.100098,2424.750000,2382.254639,1007999
2021-11-16,2434.649902,2434.649902,2400.100098,2406.649902,2364.471680,1245209
2021-11-17,2404.000000,2410.050049,2387.199951,2391.149902,2349.243408,956809
2021-11-18,2390.000000,2406.350098,2370.000000,2399.399902,2357.348877,1236943
2021-11-22,2409.399902,2409.899902,2377.149902,2388.550049,2346.688965,1629290
2021-11-23,2387.800049,2400.000000,2336.500000,2394.199951,2352.239746,1932539
2021-11-24,2406.000000,2406.000000,2367.000000,2374.750000,2333.130859,999070
2021-11-25,2387.000000,2387.000000,2341.000000,2349.050049,2307.881348,1363272
2021-11-26,2344.000000,2365.000000,2325.199951,2335.100098,2294.175781,2450902
2021-11-29,2334.399902,2342.250000,2284.699951,2329.399902,2288.575684,1724612
2021-11-30,2322.000000,2361.000000,2302.000000,2317.550049,2276.933350,3931035
2021-12-01,2340.000000,2356.750000,2323.250000,2344.850098,2303.755127,1263139
2021-12-02,2357.000000,2388.000000,2345.000000,2383.300049,2341.531250,1673117
2021-12-03,2383.300049,2389.899902,2337.899902,2343.649902,2302.575684,1890178
2021-12-06,2344.000000,2363.949951,2301.000000,2306.500000,2266.076904,1079171
2021-12-07,2327.899902,2341.649902,2312.000000,2321.600098,2280.912598,895313
2021-12-08,2318.250000,2344.449951,2318.250000,2340.600098,2299.579590,839769
2021-12-09,2341.000000,2348.600098,2321.550049,2339.750000,2298.744141,716666
2021-12-10,2347.000000,2347.000000,2320.000000,2332.800049,2291.916016,724539
2021-12-13,2352.000000,2352.000000,2301.000000,2304.350098,2263.964844,1804894
2021-12-14,2305.000000,2324.949951,2304.000000,2318.300049,2277.670166,1219031
2021-12-15,2316.000000,2324.800049,2300.500000,2320.949951,2280.273682,755122
2021-12-16,2320.949951,2325.300049,2303.949951,2309.500000,2269.024414,926493
2021-12-17,2303.000000,2308.949951,2226.000000,2230.250000,2191.163330,2439222
2021-12-20,2226.000000,2274.350098,2201.149902,2269.100098,2229.332520,2175705
2021-12-21,2290.000000,2302.699951,2252.750000,2272.850098,2233.016846,1591415
2021-12-22,2300.000000,2317.399902,2269.000000,2277.649902,2237.732422,1661605
2021-12-23,2298.949951,2305.000000,2274.600098,2300.649902,2260.329346,1423081
2021-12-24,2310.000000,2313.000000,2283.300049,2296.949951,2256.694336,895503
2021-12-27,2296.949951,2308.100098,2278.250000,2301.399902,2261.066406,584302
2021-12-28,2310.000000,2318.399902,2297.750000,2309.100098,2268.631592,783710
2021-12-29,2314.899902,2321.850098,2299.050049,2306.850098,2266.420898,1410236
2021-12-30,2308.000000,2330.000000,2296.649902,2325.600098,2284.842529,963711
2021-12-31,2340.000000,2370.350098,2330.000000,2360.149902,2318.786621,1123597
2022-01-03,2378.000000,2378.000000,2353.000000,2361.300049,2319.916504,879278
2022-01-04,2368.949951,2408.100098,2355.350098,2401.250000,2359.166504,1484275
2022-01-05,2403.800049,2420.000000,2392.000000,2415.800049,2373.461426,1202512
2022-01-06,2398.000000,2412.000000,2367.699951,2391.399902,2349.489014,1198901
2022-01-07,2388.000000,2421.899902,2388.000000,2416.149902,2373.805420,1026186
2022-01-10,2425.000000,2425.000000,2402.000000,2407.050049,2364.864990,919447
2022-01-11,2417.149902,2418.300049,2392.000000,2403.649902,2361.524414,1321335
2022-01-12,2407.199951,2416.000000,2398.500000,2413.149902,2370.857666,1487554
2022-01-13,2418.000000,2421.899902,2403.250000,2414.199951,2371.889404,1586299
2022-01-14,2420.000000,2421.000000,2360.800049,2363.699951,2322.274414,1596037
2022-01-17,2364.000000,2394.199951,2345.000000,2389.550049,2347.671631,912205
2022-01-18,2408.699951,2408.699951,2357.399902,2369.500000,2327.972900,1667579
2022-01-19,2364.000000,2368.600098,2305.050049,2309.899902,2269.417480,2145255
2022-01-20,2325.000000,2325.550049,2243.000000,2261.800049,2222.160645,2829711
